Region,Nodo,tac,lac,Total de Sectores,estado por sector,Relacion TAC-LAC,Color tecnologia,Color,Descripcion,Latitud,Longitud,Azimuth,BeamWidth,Height
REGION 9,MX3894U1900,,32012,3,NOK,OK,#FF0000,#000000,Sector 1,19.24539,-99.551,"[35.0, 185.0, 297.0]","[65.0, 65.0, 65.0]",30.1
REGION 9,MX8579U850,,12012,3,NOK,OK,#FF0000,#000000,Sector 1,19.24539,-99.551,"[35.0, 185.0, 297.0]","[65.0, 65.0, 65.0]",30.1
REGION 1,BN2140L2100,14088,,3,NOK,OK,#FF0000,#000000,Sector 1,32.523098,-116.70823,"[77.0, 182.0, 292.0]","[63.5, 63.0, 63.5]",49
REGION 1,BN2140U850,,13044,3,NOK,OK,#FF0000,#000000,Sector 1,32.523098,-116.70823,"[77.0, 182.0, 292.0]","[63.5, 63.0, 63.5]",49
REGION 1,BN4019U1900,,13044,3,NOK,OK,#FF0000,#000000,Sector 1,32.523098,-116.70823,"[77.0, 182.0, 292.0]","[63.5, 63.0, 63.5]",49
REGION 9,MX4195L2100,576,,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 14006, LAC correcta: 13062",19.441917,-99.335915,"[100.0, 236.0, 306.0]","[68.0, 68.0, 68.0]",14.5
REGION 9,MX8412U1900,,14006,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 14006, LAC correcta: 13062",19.441917,-99.335915,"[100.0, 236.0, 306.0]","[68.0, 68.0, 68.0]",14.5
REGION 9,MX4195U850,,14006,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 14006, LAC correcta: 13062",19.441917,-99.335915,"[100.0, 236.0, 306.0]","[68.0, 68.0, 68.0]",14.5
REGION 9,MX2568U1900,,12012,3,NOK,OK,#FF0000,#000000,Sector 1,19.704945,-100.06142,"[57.0, 167.0, 277.0]","[65.0, 65.0, 65.0]",35
REGION 9,MX0463U850,,21012,3,NOK,OK,#FF0000,#000000,Sector 1,19.704945,-100.06142,"[57.0, 167.0, 277.0]","[65.0, 65.0, 65.0]",35
REGION 9,MX4174U850,,21012,3,NOK,OK,#FF0000,#000000,Sector 1,19.704945,-100.06142,"[57.0, 167.0, 277.0]","[65.0, 65.0, 65.0]",35
REGION 4,NL2369L2100,3849,,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, TAC en Nodo: 192369001 TAC correcta: 3869",25.717728,-100.31465,"[59.0, 179.0, 299.0]","[69.5, 69.5, 66.5]",25
REGION 4,NL2369U850,,22013,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 22013 LAC correcta: 22013",25.717728,-100.31465,"[59.0, 179.0, 299.0]","[69.5, 69.5, 66.5]",25
REGION 4,NL4596U1900,,22013,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 22013 LAC correcta: 22013",25.717728,-100.31465,"[59.0, 179.0, 299.0]","[69.5, 69.5, 66.5]",25
REGION 4,NL0779U850,,22013,3,OK,NOK,#00FF00,#FF0000,"Relación incorrecta, LAC en Nodo: 22013 LAC correcta: 22013",25.717728,-100.31465,"[59.0, 179.0, 299.0]","[69.5, 69.5, 66.5]",25
REGION 6,ZA2221L2100,23351,,3,OK,OK,#00FF00,#00FF00,,23.173973,-102.879456,"[56.0, 181.0, 306.0]","[66.5, 66.5, 66.5]",32
REGION 6,ZA2221U850,,42091,3,OK,OK,#00FF00,#00FF00,,23.173973,-102.879456,"[56.0, 181.0, 306.0]","[66.5, 66.5, 66.5]",32
REGION 6,ZA6231U1900,,42091,3,OK,OK,#00FF00,#00FF00,,23.173973,-102.879456,"[56.0, 181.0, 306.0]","[66.5, 66.5, 66.5]",32
REGION 4,TA5812L2100,3874,,3,OK,OK,#00FF00,#00FF00,,22.407888,-97.90733,"[65.0, 154.0, 268.0]","[70.5, 70.5, 68.5]",31
REGION 4,TA5812U850,,13018,3,OK,OK,#00FF00,#00FF00,,22.407888,-97.90733,"[65.0, 154.0, 268.0]","[70.5, 70.5, 68.5]",31
REGION 4,TA3974U1900,,13018,3,OK,OK,#00FF00,#00FF00,,22.407888,-97.90733,"[65.0, 154.0, 268.0]","[70.5, 70.5, 68.5]",31
REGION 4,CO0831L2100,3859,,3,OK,OK,#00FF00,#00FF00,,25.657064,-101.7746,"[0.0, 90.0, 277.0]","[68.0, 68.0, 68.0]",46.7
REGION 4,CO0831U850,,41014,3,OK,OK,#00FF00,#00FF00,,25.657064,-101.7746,"[0.0, 90.0, 277.0]","[68.0, 68.0, 68.0]",46.7
REGION 4,CO9658U1900,,41014,3,OK,OK,#00FF00,#00FF00,,25.657064,-101.7746,"[0.0, 90.0, 277.0]","[68.0, 68.0, 68.0]",46.7
REGION 9,DF6325L2100,523,,3,OK,OK,#00FF00,#00FF00,,19.271694,-99.178696,"[26.0, 145.0, 284.0]","[69.0, 69.0, 69.0]",30
REGION 9,DF3548U1900,,21009,3,OK,OK,#00FF00,#00FF00,,19.271694,-99.178696,"[26.0, 145.0, 284.0]","[69.0, 69.0, 69.0]",30
REGION 9,DF6325U850,,21009,3,OK,OK,#00FF00,#00FF00,,19.271694,-99.178696,"[26.0, 145.0, 284.0]","[69.0, 69.0, 69.0]",30
REGION 9,MX8224L2100,572,,3,OK,OK,#00FF00,#00FF00,,19.588608,-99.737686,"[7.0, 157.0, 277.0]","[65.0, 65.0, 65.0]",24.5
REGION 9,MX8224U850,,12012,3,OK,OK,#00FF00,#00FF00,,19.588608,-99.737686,"[7.0, 157.0, 277.0]","[65.0, 65.0, 65.0]",24.5
REGION 9,MX3452U1900,,12012,3,OK,OK,#00FF00,#00FF00,,19.588608,-99.737686,"[7.0, 157.0, 277.0]","[65.0, 65.0, 65.0]",24.5
REGION 2,SO2603L2100,12814,,3,OK,NOK,#00FF00,#000000,Relación sin existencia,27.910767,-110.94599,"[98.0, 215.0, 331.0]","[70.5, 70.5, 70.5]",25
REGION 2,SO2603U850,,32053,3,OK,NOK,#00FF00,#000000,Relación sin existencia,27.910767,-110.94599,"[98.0, 215.0, 331.0]","[70.5, 70.5, 70.5]",25
REGION 6,GT4296L2100,23336,,3,OK,OK,#00FF00,#00FF00,,20.566221,-101.19711,"[2.0, 120.0, 220.0]","[65.0, 65.0, 65.0]",30.3
REGION 6,GT4296U850,,31057,3,OK,OK,#00FF00,#00FF00,,20.566221,-101.19711,"[2.0, 120.0, 220.0]","[65.0, 65.0, 65.0]",30.3
REGION 6,GT3852U1900,,31057,3,OK,OK,#00FF00,#00FF00,,20.566221,-101.19711,"[2.0, 120.0, 220.0]","[65.0, 65.0, 65.0]",30.3
REGION 6,SL6938L2100,28419,,3,OK,OK,#00FF00,#00FF00,,22.137167,-100.99683,"[25.0, 100.0, 300.0]","[65.0, 65.0, 65.0]",34.8
REGION 6,SL6938U850,,12035,3,OK,OK,#00FF00,#00FF00,,22.137167,-100.99683,"[25.0, 100.0, 300.0]","[65.0, 65.0, 65.0]",34.8
REGION 6,SL7995U1900,,12035,3,OK,OK,#00FF00,#00FF00,,22.137167,-100.99683,"[25.0, 100.0, 300.0]","[65.0, 65.0, 65.0]",34.8
REGION 4,TA2757L2100,3903,,3,OK,OK,#00FF00,#00FF00,,23.931723,-99.200806,"[93.0, 210.0, 310.0]","[70.5, 70.5, 70.5]",60
REGION 4,TA7803U1900,,45018,3,OK,OK,#00FF00,#00FF00,,23.931723,-99.200806,"[93.0, 210.0, 310.0]","[70.5, 70.5, 70.5]",60
REGION 4,TA2757U850,,45018,3,OK,OK,#00FF00,#00FF00,,23.931723,-99.200806,"[93.0, 210.0, 310.0]","[70.5, 70.5, 70.5]",60
REGION 4,NL1838L2100,3589,,3,OK,OK,#00FF00,#00FF00,,24.800468,-99.54939,"[350.0, 284.0, 170.0]","[68.0, 68.0, 68.0]",75
REGION 4,NL5174U1900,,35014,3,OK,OK,#00FF00,#00FF00,,24.800468,-99.54939,"[350.0, 284.0, 170.0]","[68.0, 68.0, 68.0]",75
REGION 4,NL1838U850,,35014,3,OK,OK,#00FF00,#00FF00,,24.800468,-99.54939,"[350.0, 284.0, 170.0]","[68.0, 68.0, 68.0]",75
